epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,651.512,1.18839,1.62873,1.01627,0.92219,0.76859,0.81984,0.56161,1.22889,1.2509,1.02481,0.000195759,0.000195759,0.000195759
2,1241.14,1.12752,1.1129,0.99079,0.86829,0.68436,0.76989,0.52418,1.28651,1.79462,1.04668,0.000372367,0.000372367,0.000372367
3,1826.61,1.08194,1.0641,0.9748,0.91312,0.75684,0.82604,0.57525,1.22577,1.34414,1.0245,0.000529571,0.000529571,0.000529571
4,2411.18,1.02752,1.00823,0.95649,0.84595,0.80276,0.83767,0.59021,1.1919,1.26184,1.01521,0.000500682,0.000500682,0.000500682
5,2995.7,0.96667,0.95217,0.93617,0.83029,0.8167,0.84059,0.60051,1.16101,1.18036,1.00504,0.000471576,0.000471576,0.000471576
6,3580.21,0.89962,0.88589,0.91547,0.83342,0.80184,0.83688,0.60165,1.16178,1.22068,1.00922,0.00044247,0.00044247,0.00044247
7,4164.42,0.85088,0.85516,0.89982,0.84343,0.8044,0.83463,0.6081,1.13903,1.26025,1.00531,0.000413364,0.000413364,0.000413364
8,4747.92,0.79561,0.8068,0.88409,0.91538,0.78329,0.83429,0.60773,1.12057,1.16874,1.00085,0.000384258,0.000384258,0.000384258
9,5331.37,0.7407,0.76055,0.86889,0.85708,0.80392,0.84054,0.61934,1.10174,1.15227,0.99629,0.000355152,0.000355152,0.000355152
10,5919.21,0.69684,0.72756,0.85726,0.87861,0.81223,0.84082,0.61626,1.09626,1.16307,0.99972,0.000326046,0.000326046,0.000326046
11,6504.27,0.65261,0.68931,0.8462,0.85554,0.82418,0.84372,0.62961,1.07551,1.13013,0.99725,0.00029694,0.00029694,0.00029694
12,7089.91,0.60456,0.65324,0.83536,0.92058,0.79348,0.84229,0.63147,1.06141,1.10178,0.99529,0.000267834,0.000267834,0.000267834
13,7674.86,0.56116,0.61668,0.82615,0.86082,0.81195,0.84089,0.63139,1.05332,1.14501,0.99565,0.000238728,0.000238728,0.000238728
14,8258.64,0.52328,0.588,0.81894,0.8373,0.80691,0.84274,0.63724,1.0438,1.12562,0.9986,0.000209622,0.000209622,0.000209622
15,8848.38,0.48959,0.56116,0.81208,0.8605,0.8111,0.83824,0.634,1.03745,1.14237,0.99989,0.000180516,0.000180516,0.000180516
16,9432.26,0.45198,0.53046,0.80567,0.85085,0.80041,0.84113,0.63931,1.02784,1.12077,0.99965,0.00015141,0.00015141,0.00015141
17,10023,0.418,0.50299,0.80049,0.8515,0.80378,0.84183,0.64214,1.02221,1.12644,1.00087,0.000122304,0.000122304,0.000122304
18,10608.4,0.39002,0.4831,0.79674,0.84022,0.8094,0.8414,0.6434,1.01717,1.09264,1.00224,9.3198e-05,9.3198e-05,9.3198e-05
19,11196.3,0.3581,0.45713,0.79233,0.8592,0.81698,0.84282,0.64496,1.01206,1.11871,1.00167,6.4092e-05,6.4092e-05,6.4092e-05
20,11781.1,0.33525,0.43808,0.79001,0.86793,0.80487,0.84534,0.64771,1.00877,1.12153,1.00324,3.4986e-05,3.4986e-05,3.4986e-05
